"CodTempo","Tempo","Sexo","Variable","CodEspazo","Espazo","DatoN","DatoT"
2011,"2011","Total","Número","15","15 A Coruña",247467,"247.467"
2011,"2011","Total","Número","27","27 Lugo",99943,"99.943"
2011,"2011","Total","Número","32","32 Ourense",92882,"92.882"
2011,"2011","Total","Número","36","36 Pontevedra",194394,"194.394"
2011,"2011","Homes","Número","15","15 A Coruña",124842,"124.842"
2011,"2011","Homes","Número","27","27 Lugo",47881,"47.881"
2011,"2011","Homes","Número","32","32 Ourense",45561,"45.561"
2011,"2011","Homes","Número","36","36 Pontevedra",96574,"96.574"
2011,"2011","Mulleres","Número","15","15 A Coruña",122625,"122.625"
2011,"2011","Mulleres","Número","27","27 Lugo",52062,"52.062"
2011,"2011","Mulleres","Número","32","32 Ourense",47321,"47.321"
2011,"2011","Mulleres","Número","36","36 Pontevedra",97820,"97.820"
2013,"2013","Total","Número","15","15 A Coruña",253988,"253.988"
2013,"2013","Total","Número","27","27 Lugo",99606,"99.606"
2013,"2013","Total","Número","32","32 Ourense",93192,"93.192"
2013,"2013","Total","Número","36","36 Pontevedra",200396,"200.396"
2013,"2013","Homes","Número","15","15 A Coruña",128664,"128.664"
2013,"2013","Homes","Número","27","27 Lugo",48073,"48.073"
2013,"2013","Homes","Número","32","32 Ourense",45814,"45.814"
2013,"2013","Homes","Número","36","36 Pontevedra",100755,"100.755"
2013,"2013","Mulleres","Número","15","15 A Coruña",125324,"125.324"
2013,"2013","Mulleres","Número","27","27 Lugo",51533,"51.533"
2013,"2013","Mulleres","Número","32","32 Ourense",47378,"47.378"
2013,"2013","Mulleres","Número","36","36 Pontevedra",99641,"99.641"
2014,"2014","Total","Número","15","15 A Coruña",256333,"256.333"
2014,"2014","Total","Número","27","27 Lugo",99633,"99.633"
2014,"2014","Total","Número","32","32 Ourense",93399,"93.399"
2014,"2014","Total","Número","36","36 Pontevedra",203112,"203.112"
2014,"2014","Homes","Número","15","15 A Coruña",129847,"129.847"
2014,"2014","Homes","Número","27","27 Lugo",48227,"48.227"
2014,"2014","Homes","Número","32","32 Ourense",45920,"45.920"
2014,"2014","Homes","Número","36","36 Pontevedra",102386,"102.386"
2014,"2014","Mulleres","Número","15","15 A Coruña",126486,"126.486"
2014,"2014","Mulleres","Número","27","27 Lugo",51406,"51.406"
2014,"2014","Mulleres","Número","32","32 Ourense",47479,"47.479"
2014,"2014","Mulleres","Número","36","36 Pontevedra",100726,"100.726"
2015,"2015","Total","Número","15","15 A Coruña",258208,"258.208"
2015,"2015","Total","Número","27","27 Lugo",99218,"99.218"
2015,"2015","Total","Número","32","32 Ourense",93270,"93.270"
2015,"2015","Total","Número","36","36 Pontevedra",205398,"205.398"
2015,"2015","Homes","Número","15","15 A Coruña",130682,"130.682"
2015,"2015","Homes","Número","27","27 Lugo",48222,"48.222"
2015,"2015","Homes","Número","32","32 Ourense",45796,"45.796"
2015,"2015","Homes","Número","36","36 Pontevedra",103902,"103.902"
2015,"2015","Mulleres","Número","15","15 A Coruña",127526,"127.526"
2015,"2015","Mulleres","Número","27","27 Lugo",50996,"50.996"
2015,"2015","Mulleres","Número","32","32 Ourense",47474,"47.474"
2015,"2015","Mulleres","Número","36","36 Pontevedra",101496,"101.496"
2016,"2016","Total","Número","15","15 A Coruña",259846,"259.846"
2016,"2016","Total","Número","27","27 Lugo",98433,"98.433"
2016,"2016","Total","Número","32","32 Ourense",93188,"93.188"
2016,"2016","Total","Número","36","36 Pontevedra",207339,"207.339"
2016,"2016","Homes","Número","15","15 A Coruña",131187,"131.187"
2016,"2016","Homes","Número","27","27 Lugo",48014,"48.014"
2016,"2016","Homes","Número","32","32 Ourense",45764,"45.764"
2016,"2016","Homes","Número","36","36 Pontevedra",104885,"104.885"
2016,"2016","Mulleres","Número","15","15 A Coruña",128659,"128.659"
2016,"2016","Mulleres","Número","27","27 Lugo",50419,"50.419"
2016,"2016","Mulleres","Número","32","32 Ourense",47424,"47.424"
2016,"2016","Mulleres","Número","36","36 Pontevedra",102454,"102.454"
2017,"2017","Total","Número","15","15 A Coruña",261801,"261.801"
2017,"2017","Total","Número","27","27 Lugo",98134,"98.134"
2017,"2017","Total","Número","32","32 Ourense",93202,"93.202"
2017,"2017","Total","Número","36","36 Pontevedra",209437,"209.437"
2017,"2017","Homes","Número","15","15 A Coruña",131845,"131.845"
2017,"2017","Homes","Número","27","27 Lugo",48046,"48.046"
2017,"2017","Homes","Número","32","32 Ourense",45767,"45.767"
2017,"2017","Homes","Número","36","36 Pontevedra",105768,"105.768"
2017,"2017","Mulleres","Número","15","15 A Coruña",129956,"129.956"
2017,"2017","Mulleres","Número","27","27 Lugo",50088,"50.088"
2017,"2017","Mulleres","Número","32","32 Ourense",47435,"47.435"
2017,"2017","Mulleres","Número","36","36 Pontevedra",103669,"103.669"
2018,"2018","Total","Número","15","15 A Coruña",263892,"263.892"
2018,"2018","Total","Número","27","27 Lugo",98024,"98.024"
2018,"2018","Total","Número","32","32 Ourense",93340,"93.340"
2018,"2018","Total","Número","36","36 Pontevedra",211762,"211.762"
2018,"2018","Homes","Número","15","15 A Coruña",132506,"132.506"
2018,"2018","Homes","Número","27","27 Lugo",48116,"48.116"
2018,"2018","Homes","Número","32","32 Ourense",45814,"45.814"
2018,"2018","Homes","Número","36","36 Pontevedra",106830,"106.830"
2018,"2018","Mulleres","Número","15","15 A Coruña",131386,"131.386"
2018,"2018","Mulleres","Número","27","27 Lugo",49908,"49.908"
2018,"2018","Mulleres","Número","32","32 Ourense",47526,"47.526"
2018,"2018","Mulleres","Número","36","36 Pontevedra",104932,"104.932"
2019,"2019","Total","Número","15","15 A Coruña",265950,"265.950"
2019,"2019","Total","Número","27","27 Lugo",97753,"97.753"
2019,"2019","Total","Número","32","32 Ourense",93360,"93.360"
2019,"2019","Total","Número","36","36 Pontevedra",213489,"213.489"
2019,"2019","Homes","Número","15","15 A Coruña",133241,"133.241"
2019,"2019","Homes","Número","27","27 Lugo",48010,"48.010"
2019,"2019","Homes","Número","32","32 Ourense",45820,"45.820"
2019,"2019","Homes","Número","36","36 Pontevedra",107428,"107.428"
2019,"2019","Mulleres","Número","15","15 A Coruña",132709,"132.709"
2019,"2019","Mulleres","Número","27","27 Lugo",49743,"49.743"
2019,"2019","Mulleres","Número","32","32 Ourense",47540,"47.540"
2019,"2019","Mulleres","Número","36","36 Pontevedra",106061,"106.061"
2020,"2020","Total","Número","15","15 A Coruña",265582,"265.582"
2020,"2020","Total","Número","27","27 Lugo",96958,"96.958"
2020,"2020","Total","Número","32","32 Ourense",92438,"92.438"
2020,"2020","Total","Número","36","36 Pontevedra",214096,"214.096"
2020,"2020","Homes","Número","15","15 A Coruña",132577,"132.577"
2020,"2020","Homes","Número","27","27 Lugo",47641,"47.641"
2020,"2020","Homes","Número","32","32 Ourense",45219,"45.219"
2020,"2020","Homes","Número","36","36 Pontevedra",107446,"107.446"
2020,"2020","Mulleres","Número","15","15 A Coruña",133005,"133.005"
2020,"2020","Mulleres","Número","27","27 Lugo",49317,"49.317"
2020,"2020","Mulleres","Número","32","32 Ourense",47219,"47.219"
2020,"2020","Mulleres","Número","36","36 Pontevedra",106650,"106.650"
2021,"2021","Total","Número","15","15 A Coruña",266817,"266.817"
2021,"2021","Total","Número","27","27 Lugo",96680,"96.680"
2021,"2021","Total","Número","32","32 Ourense",92477,"92.477"
2021,"2021","Total","Número","36","36 Pontevedra",215812,"215.812"
2021,"2021","Homes","Número","15","15 A Coruña",132717,"132.717"
2021,"2021","Homes","Número","27","27 Lugo",47519,"47.519"
2021,"2021","Homes","Número","32","32 Ourense",45100,"45.100"
2021,"2021","Homes","Número","36","36 Pontevedra",107906,"107.906"
2021,"2021","Mulleres","Número","15","15 A Coruña",134100,"134.100"
2021,"2021","Mulleres","Número","27","27 Lugo",49161,"49.161"
2021,"2021","Mulleres","Número","32","32 Ourense",47377,"47.377"
2021,"2021","Mulleres","Número","36","36 Pontevedra",107906,"107.906"
